Gene_ID,log2FoldChange,pvalue,padj
ENSG00000157933,0.01965427369199091,0.8870125444148074,
ENSG00000116151,-0.2671120823701303,0.1263272214817132,
ENSG00000272161,0.3333333333333333,0.4226497308103743,
ENSG00000269896,-0.09254465801929168,0.7900230855849996,
ENSG00000272420,-0.17613602911845705,0.7179912519015367,
ENSG00000157916,0.08712362002987373,0.7399225096978381,
ENSG00000157911,0.08573338368058803,0.6106564332848978,
ENSG00000149527,-0.20224486209372472,0.5986787471577983,
ENSG00000224387,-0.12477102188058597,0.8444138747766804,
ENSG00000229393,0.02042604148637761,0.9804206129854472,
ENSG00000157881,0.5265240252863723,0.214210036119016,
ENSG00000197921,-0.8807183379332955,0.2989841868600293,
ENSG00000272449,-0.337333253995856,0.5285301175284476,
ENSG00000238164,-0.32020845264075115,0.4268447609725831,
ENSG00000157873,-0.24649170360010153,0.33818801400990484,
ENSG00000225931,-0.3129072918469557,0.5695833315856332,
ENSG00000228037,0.8538950498744283,0.2492903944787765,
ENSG00000157870,0.1424672141444283,0.7172346282955067,
ENSG00000142606,-0.17877058564388792,0.8445820387213931,
ENSG00000237058,0.10530295029736081,0.9282335042530446,
ENSG00000215912,0.21764468247893554,0.4167627628540941,
ENSG00000285945,0.3333333333333333,0.4226497308103743,
ENSG00000283259,-0.33674764842135874,0.7009361955997689,
ENSG00000233234,0.0,,
ENSG00000231630,0.3333333333333333,0.4226497308103743,
ENSG00000284745,1.215413541726763,0.047190742934492776,
ENSG00000169717,0.16666666666666663,0.7227877080390918,
ENSG00000177133,-0.09095617671038436,0.8497724509987133,
ENSG00000142611,-0.014138406358125799,0.9616709583945359,
ENSG00000283572,-0.25,0.3910022189557705,
ENSG00000226286,-0.7091479170272448,0.21642011319105328,
ENSG00000279839,-1.318400704842584,0.2047692242485743,
ENSG00000272235,-1.0047233822300283,0.017828810988300248,
ENSG00000130762,-0.9844817659347533,0.194545735899503,
ENSG00000272088,0.0,,
ENSG00000162591,-0.3090402450446703,0.41910521473045764,
ENSG00000207776,0.0,,
ENSG00000238260,-1.0833333333333335,0.2401119617126653,
ENSG00000158109,-0.1345382406910005,0.35882284007961573,
ENSG00000116213,0.00739545976513778,0.9583950796807277,
ENSG00000078900,-0.17591927603239466,0.8892870278584694,
ENSG00000227589,-0.25,0.3910022189557705,
ENSG00000235131,0.3333333333333333,0.4226497308103743,
ENSG00000227372,0.3019828032680403,0.23407028071587663,
ENSG00000276189,0.0,,
ENSG00000162592,0.24658568491197452,0.6834656767351888,
ENSG00000235169,0.861654166907052,0.20363932786813255,
ENSG00000130764,-0.1487775113193459,0.22971752625180328,
ENSG00000266075,-0.4795739585136224,0.5822351706081627,
ENSG00000272153,-0.16381535705517392,0.8582684036560407,
ENSG00000116198,-0.03910659597275945,0.887099032003812,
ENSG00000169598,-0.3452145099411874,0.13636968859888338,
ENSG00000198912,-0.06382590463311644,0.8842600294801272,
ENSG00000236423,0.2720552088742003,0.7183541882179788,
ENSG00000233304,0.041895644786080766,0.9670038967262016,
ENSG00000226374,-0.8585922799598062,0.166867664570362,
ENSG00000284668,0.44498750024038536,0.552986692000686,
ENSG00000284703,-1.4654731769095743,0.13957173314915075,
ENSG00000229280,-0.7641604167868593,0.28214432362033326,
ENSG00000235054,-0.16666666666666669,0.7227877080390916,
ENSG00000284694,-1.2027466172730086,0.25809763074607805,
ENSG00000227169,0.0,,
ENSG00000232596,-0.2641604167868593,0.7227877080390916,
ENSG00000196581,-0.28095415426983905,0.3086101488579033,
ENSG00000284739,0.27832083357371873,0.6675211330154363,
ENSG00000284674,-0.0629072918469557,0.9080389177346884,
